name,files,tags,Slang,tree_sitter_verilog,Verilator,Yosys,Odin,sv_parser,Icarus,Sv2v_zachjs
utd-sv_cpx_buf_pdr_even,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_buf_pdr_even.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_module-instance,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/module-instance.v,utd-sv,False,True,False,False,False,True,False,True
utd-sv_core1_config,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/core1_config.v,utd-sv,True,True,False,True,False,True,False,True
utd-sv_ccx_arb_srcq,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ccx_arb_srcq.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sparc_exu_ecc,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_exu_ecc.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_flop_rptrs_xb1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/flop_rptrs_xb1.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_pcx_buf_pm,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_pm.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_net_type_directive,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/net_type_directive.v,utd-sv,True,True,True,True,False,True,False,True
utd-sv_ctu_clsp_clkgn_ssiclk,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_clsp_clkgn_ssiclk.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_spu_ma_mon,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/spu_ma_mon.v,utd-sv,False,False,False,False,False,True,False,True
utd-sv_lsu_pcx_qmon,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/lsu_pcx_qmon.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_scbuf_rdmard,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/scbuf_rdmard.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_sctag_scbufrep,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_scbufrep.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_synchronizer_asr,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/synchronizer_asr.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_pcx,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_ucb_bus_out,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ucb_bus_out.v,utd-sv,False,False,False,True,False,False,False,False
utd-sv_fpu_cnt_lead0_53b,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_cnt_lead0_53b.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sync_pulse_synchronizer,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sync_pulse_synchronizer.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_pcx_buf_pt,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_pt.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sparc_exu_rml_inc3,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_exu_rml_inc3.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_sctag_pcx_rptr_1,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_pcx_rptr_1.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_bw_dtl_impctl_pulldown,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/bw_dtl_impctl_pulldown.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_cpx_buf_pm,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_buf_pm.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_ctu_clsp_synch_jldl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_clsp_synch_jldl.v,utd-sv,False,True,False,True,False,False,False,True
utd-sv_fpu_cnt_lead0_64b,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_cnt_lead0_64b.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_fpu_in_dp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_in_dp.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sctag_stdatarep,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_stdatarep.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_sctag_deccdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_deccdp.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_fpu_denorm_frac,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_denorm_frac.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_sparc_exu_alu_16eql,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_exu_alu_16eql.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_ctu_test_stub_scan,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/ctu_test_stub_scan.v,utd-sv,True,True,False,True,True,False,False,True
utd-sv_pcx_buf_pdr_odd,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/pcx_buf_pdr_odd.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_lsu_stb_rwdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/lsu_stb_rwdp.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sctag_vuadcol_dp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_vuadcol_dp.v,utd-sv,False,True,False,True,False,True,False,True
utd-sv_cpx_fpbuf_p0,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_fpbuf_p0.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_std-7.1.6-primitives,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/std-7.1.6-primitives.v,utd-sv,False,True,True,False,False,True,False,False
utd-sv_sctag_oqdp,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sctag_oqdp.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_sparc_ffu_part_add32,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/sparc_ffu_part_add32.v,utd-sv,True,True,True,True,True,True,False,True
utd-sv_cpx_spc_buf,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/cpx_spc_buf.v,utd-sv,True,True,False,True,True,False,False,False
utd-sv_bw_zckgatedcap_h,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/bw_zckgatedcap_h.v,utd-sv,True,True,True,True,False,True,False,True
utd-sv_i2c_fctrl,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/i2c_fctrl.v,utd-sv,False,True,False,True,False,False,False,False
utd-sv_fpu_cnt_lead0_lvl4,/home/travis/build/SymbiFlow/sv-tests/third_party/tests/utd-sv/fpu_cnt_lead0_lvl4.v,utd-sv,True,True,True,True,True,True,False,True
